"","d500","d1000","d1500","d2000"
"YoloAirport",0,1064.87931550071,1997.52564569046,1997.52564569046
"Oakdale",510.933891209702,510.933891209702,510.933891209702,1266.77217239296
"Spiva",651.848809185917,1779.50341485019,2779.61526352679,3539.24902847184
"Hatanaka",0,0,0,0
"Rominger",1435.62999789133,2530.74450901663,2643.75325938874,3119.53331851456
"Joe",0,92.7160318883752,2113.6693986198,2724.6246787844
"BC1",0,0,0,236.967309930013
"Barger",324.268525214981,672.16712541679,1271.59897023085,1307.62635504717
"Turkovich",522.578088873634,627.252993278078,627.252993278078,1717.05455532591
"Johnston",602.09881980569,602.09881980569,602.09881980569,602.09881980569
"DQU",0,0,686.765974385959,1242.70716758378
"Maria",0,0,388.222420570646,1401.44201488432
"Berm",687.602973841075,1862.00543173377,2425.50413330625,3327.50849535634
"MC1",331.882069808214,679.251555323835,740.035178529109,740.035178529109
"CR101Control",0,0,0,0
"Tractor",709.848717329643,2726.24564644045,5860.176039024,6669.0194633839
"Barn",0,2078.22698929143,3102.31159371814,3602.33170230458
"Loop",0,180.537216387605,1217.90863655608,3988.14482459908
"HC1",1122.340454942,3435.23456861863,6531.69051421567,7050.30407440929
"Harlan",441.208302847474,1560.69682734123,3155.39606905922,5834.35167717011
"Gilmer",1242.70716758378,1242.70716758378,1242.70716758378,1242.70716758378
"Hrdy",288.408546749175,1310.90224479559,3578.96715841522,7700.4348628534
"FongWest",554.549553740408,554.549553740408,1102.74971234661,1102.74971234661
"MullerB",458.413075067343,740.035178529109,740.035178529109,740.035178529109
"MullerM",325.872182733459,325.872182733459,763.108104564273,763.108104564273
"Gregory",0,0,0,0
"USS",0,171.645263262239,1360.90790907447,3480.84463827276
"Fong",548.200158606205,548.200158606205,1102.74971234661,1102.74971234661
"CR29",543.756211124451,543.756211124451,543.756211124451,543.756211124451
"RLong",904.726992810029,1093.65481933998,1093.65481933998,1093.65481933998
"BC2",0,0,0,0
"Butler",878.660560292628,3286.85908543237,4520.44345463925,5335.48626570287
"CircleG",0,0,70.3926977199735,570.392697719974
"Chamberlain",0,0,0,543.756211124451
"Best",0,0,1028.55369841005,1093.65481933998
"Sperandio",947.330445015865,947.330445015865,1391.40512132609,2321.79417090544
"Zamora",0,0,437.235921830813,437.235921830813
"CR101",784.64101038165,799.343195078629,799.343195078629,799.343195078629
"H16",0,0,228.069146770873,734.166276284183
"PutahCreek",314.737776991488,314.737776991488,952.961145017604,1573.4232246673
