"","Site","Year","riparianForest350","riparianScrub350","natural350","riparianForest1000","riparianScrub1000","natural1000","riparianForest2500","riparianScrub2500","natural2500"
"1","Barger",2007,256.090690174355,4002.12394064205,4258.2146308164,1341.68099283089,39212.0346771408,40553.7156699717,1629.26875896898,54200.0563212984,55829.3250802674
"81","Barger",2008,256.090690174355,4002.12394064205,4258.2146308164,1341.68099283089,39212.0346771408,40553.7156699717,1629.26875896898,54200.0563212984,55829.3250802674
"127","Barger",2009,256.090690174355,4002.12394064205,4258.2146308164,1341.68099283089,39212.0346771408,40553.7156699717,1629.26875896898,54200.0563212984,55829.3250802674
"152","BC1",2006,11272.8842345787,20388.383556102,31661.2677906807,26645.2299079315,75073.8244755687,101719.0543835,33438.2610263783,96139.2781434827,129577.539169861
"170","BC1",2007,11272.8842345787,20388.383556102,31661.2677906807,26645.2299079315,75073.8244755687,101719.0543835,33438.2610263783,96139.2781434827,129577.539169861
"192","BC1",2008,11272.8842345787,20388.383556102,31661.2677906807,26645.2299079315,75073.8244755687,101719.0543835,33438.2610263783,96139.2781434827,129577.539169861
"197","BC2",2007,3380.167013645,36865.6441615002,40245.8111751452,31986.4320234194,290177.785754685,322164.217778104,52619.1757007882,393585.005521429,446204.181222217
"247","BC2",2008,3380.167013645,36865.6441615002,40245.8111751452,31986.4320234194,290177.785754685,322164.217778104,52619.1757007882,393585.005521429,446204.181222217
"302","BC2",2009,3380.167013645,36865.6441615002,40245.8111751452,31986.4320234194,290177.785754685,322164.217778104,52619.1757007882,393585.005521429,446204.181222217
"336","Butler",2007,65.3475185862919,833.089088192634,898.436606778926,7577.3475398845,17780.6506851188,25357.9982250033,13230.7926530603,26373.7169189685,39604.5095720287
"412","Butler",2008,65.3475185862919,833.089088192634,898.436606778926,7577.3475398845,17780.6506851188,25357.9982250033,13230.7926530603,26373.7169189685,39604.5095720287
"446","Butler",2009,65.3475185862919,833.089088192634,898.436606778926,7577.3475398845,17780.6506851188,25357.9982250033,13230.7926530603,26373.7169189685,39604.5095720287
"487","Chamberlain",2007,10034.8597241247,6430.15101705837,16465.010741183,28272.3813573145,62671.8366120426,90944.2179693571,33842.4852218654,88480.3997660609,122322.884987926
"565","Chamberlain",2008,10034.8597241247,6430.15101705837,16465.010741183,28272.3813573145,62671.8366120426,90944.2179693571,33842.4852218654,88480.3997660609,122322.884987926
"659","Chamberlain",2009,10034.8597241247,6430.15101705837,16465.010741183,28272.3813573145,62671.8366120426,90944.2179693571,33842.4852218654,88480.3997660609,122322.884987926
"683","DQU",2006,0,0,0,0,0,0,0,0,0
"766","DQU",2007,0,0,0,0,0,0,0,0,0
"826","DQU",2008,0,0,0,0,0,0,0,0,0
"914","DQU",2009,0,0,0,0,0,0,0,0,0
"949","Barger",2006,256.090690174355,4002.12394064205,4258.2146308164,1341.68099283089,39212.0346771408,40553.7156699717,1629.26875896898,54200.0563212984,55829.3250802674
"998","Fong",2008,1446.00757597521,115.455151121439,1561.46272709665,15657.4284546763,2943.16483642428,18600.5932911006,22280.4382720728,4970.13350214346,27250.5717742162
"1048","Gregory",2007,0,0,0,0,0,0,0,0,0
"1123","Gregory",2008,0,0,0,0,0,0,0,0,0
"1164","Gregory",2009,0,0,0,0,0,0,0,0,0
"1228","H16",2006,0,0,0,0,0,0,0,0,0
"1275","H16",2007,0,0,0,0,0,0,0,0,0
"1306","H16",2008,0,0,0,0,0,0,0,0,0
"1356","H16",2009,0,0,0,0,0,0,0,0,0
"1373","HC1",2007,0,0,0,0,0,0,0,0,0
"1423","HC1",2008,0,0,0,0,0,0,0,0,0
"1505","HC1",2009,0,0,0,0,0,0,0,0,0
"1528","Hrdy",2007,0,0,0,0,0,0,0,0,0
"1584","Hrdy",2008,0,0,0,0,0,0,0,0,0
"1666","Hrdy",2009,0,0,0,0,0,0,0,0,0
"1764","MC1",2007,0,2669.62395445763,2669.62395445763,0,36111.1348022219,36111.1348022219,0,52460.2158238264,52460.2158238264
"1801","MC1",2008,0,2669.62395445763,2669.62395445763,0,36111.1348022219,36111.1348022219,0,52460.2158238264,52460.2158238264
"1860","MC1",2009,0,2669.62395445763,2669.62395445763,0,36111.1348022219,36111.1348022219,0,52460.2158238264,52460.2158238264
